ＩＤ,年齢,都道府県,性別,結婚,職業,業種,世帯年収,居住形態,子供有無,Q.1_1,Q.1_2,Q.2_1,Q.2_2,Q.2_3,Q.2_4,Q.2_5,Q.2_6
m89788451236,57,奈良県,男性,既婚,自営業,運送・輸送業,500万～600万未満,持ち家（一戸建て）,あり,1,0,1,1,0,0,0,0
m89788296009,34,三重県,男性,未婚,会社員(正社員),製造業,300万～400万未満,賃貸（マンション）,なし,1,0,0,0,0,0,0,1
m89788029335,40,奈良県,男性,未婚,会社員（契約・派遣社員）,サービス業,400万～500万未満,寮・下宿,なし,0,1,0,0,0,0,0,0
m8971207378,60,福岡県,男性,既婚,会社員(正社員),運送・輸送業,600万～700万未満,賃貸（マンション）,あり,1,0,1,0,1,0,0,0
m8971084961,56,東京都,男性,既婚,会社員(正社員),製造業,300万～400万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8976770214,37,神奈川県,女性,未婚,会社員(正社員),メディア・マスコミ・広告業,700万～800万未満,賃貸（マンション）,なし,1,0,0,1,0,0,0,0
m8970572285,21,北海道,女性,未婚,学生,勤めていない,200万～300万未満,賃貸（アパート）,なし,1,0,1,0,0,0,0,0
m8970238726,51,大阪府,男性,既婚,会社員(正社員),運送・輸送業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89789730808,69,東京都,女性,既婚,専業主婦,勤めていない,800万～900万未満,持ち家（一戸建て）,あり,1,0,1,1,1,0,0,0
m89788421091,34,和歌山県,女性,既婚,会社員（契約・派遣社員）,製造業,100万～200万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m89788402423,38,徳島県,女性,既婚,パート・アルバイト,サービス業,400万～500万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m89788391047,68,宮崎県,女性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m893807640,56,埼玉県,男性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8976019178,43,神奈川県,男性,未婚,会社員(正社員),製造業,500万～600万未満,賃貸（アパート）,なし,1,0,1,1,0,0,0,0
m8971949710,19,京都府,女性,未婚,学生,勤めていない,"1,200万～1,500万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8970519147,63,東京都,男性,既婚,経営者・役員,金融・証券・保険業,"2,000万以上",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m89789775565,23,北海道,女性,未婚,会社員(正社員),サービス業,100万～200万未満,持ち家（一戸建て）,なし,1,0,0,0,0,1,0,0
m89788933432,39,茨城県,女性,未婚,その他,その他,600万～700万未満,その他,なし,0,1,0,0,0,0,0,0
m89788655590,37,宮城県,女性,未婚,会社員（契約・派遣社員）,製造業,200万～300万未満,持ち家（一戸建て）,なし,1,0,0,0,1,0,0,0
m89788416864,37,愛知県,男性,既婚,会社員(正社員),運送・輸送業,500万～600万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788386645,24,愛知県,女性,未婚,会社員(正社員),医療・福祉,200万～300万未満,賃貸（アパート）,なし,1,0,0,0,0,0,1,0
m89788298563,24,大阪府,女性,未婚,会社員(正社員),電気・ガス・水道業,200万～300万未満,賃貸（マンション）,なし,1,0,1,0,1,0,0,0
m8975316067,56,神奈川県,男性,未婚,会社員(正社員),製造業,"900万～1,000万未満",賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8971143814,31,大阪府,女性,未婚,会社員（契約・派遣社員）,サービス業,700万～800万未満,賃貸（マンション）,なし,1,0,0,0,1,1,0,0
m8971066202,35,北海道,女性,未婚,会社員(正社員),製造業,400万～500万未満,賃貸（アパート）,なし,1,0,0,0,0,1,0,0
m89787973253,51,愛知県,男性,既婚,会社員(正社員),サービス業,300万～400万未満,社宅,なし,1,0,0,0,1,0,0,0
m89787764931,32,滋賀県,男性,未婚,会社員(正社員),製造業,400万～500万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8904862051,34,愛知県,女性,未婚,会社員（契約・派遣社員）,商社・卸売り・小売業,400万～500万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8974716087,42,岐阜県,女性,既婚,パート・アルバイト,医療・福祉,800万～900万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m89789753783,61,福岡県,女性,未婚,その他,その他,100万～200万未満,その他,なし,1,0,0,1,0,0,0,0
m89789698012,21,神奈川県,女性,未婚,学生,勤めていない,"2,000万以上",持ち家（マンション）,なし,1,0,0,0,0,1,0,0
m89788242537,37,広島県,女性,既婚,パート・アルバイト,サービス業,500万～600万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m899571645,54,福岡県,男性,既婚,会社員(正社員),商社・卸売り・小売業,400万～500万未満,持ち家（マンション）,あり,1,0,1,1,0,0,0,0
m8971471259,49,埼玉県,男性,既婚,会社員(正社員),建設業,700万～800万未満,持ち家（マンション）,あり,1,0,1,0,0,0,0,0
m8971418472,32,和歌山県,男性,未婚,会社員(正社員),製造業,500万～600万未満,社宅,なし,1,0,0,1,0,1,0,0
m89789747153,40,埼玉県,女性,既婚,専業主婦,勤めていない,300万～400万未満,賃貸（一戸建て）,あり,1,0,1,0,0,0,0,0
m89789701450,30,広島県,男性,既婚,会社員(正社員),製造業,300万～400万未満,賃貸（アパート）,なし,1,0,0,0,0,0,0,1
m89788402417,43,長野県,女性,既婚,会社員(正社員),サービス業,700万～800万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m89788378759,28,愛媛県,女性,既婚,パート・アルバイト,その他,300万～400万未満,賃貸（アパート）,あり,0,1,0,0,0,0,0,0
m89788288520,45,兵庫県,男性,未婚,医師・医療関係者,医療・福祉,800万～900万未満,賃貸（マンション）,なし,1,0,1,1,0,0,1,0
m8971492526,28,岩手県,女性,既婚,パート・アルバイト,その他,600万～700万未満,寮・下宿,なし,1,0,1,0,1,1,1,0
m8970427996,56,福島県,女性,既婚,専業主婦,勤めていない,800万～900万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89789518043,35,埼玉県,女性,既婚,パート・アルバイト,サービス業,400万～500万未満,持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m89788799809,43,大阪府,女性,既婚,専業主婦,勤めていない,500万～600万未満,持ち家（マンション）,あり,1,0,1,1,0,0,1,0
m89788252745,22,東京都,男性,未婚,学生,勤めていない,600万～700万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m89787982794,48,大阪府,女性,未婚,会社員(正社員),サービス業,400万～500万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8932718492,40,島根県,女性,未婚,会社員(正社員),商社・卸売り・小売業,100万未満,持ち家（一戸建て）,なし,1,0,0,0,0,0,0,1
m899202707,68,神奈川県,男性,既婚,自営業,サービス業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8974480004,51,大阪府,女性,既婚,専業主婦,勤めていない,100万～200万未満,賃貸（マンション）,あり,1,0,0,0,1,0,0,0
m8972058491,27,福岡県,女性,未婚,無職,勤めていない,100万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8972367764,26,福岡県,女性,未婚,学生,勤めていない,100万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8971421959,53,和歌山県,男性,未婚,会社員(正社員),サービス業,200万～300万未満,賃貸（アパート）,あり,1,0,1,0,0,0,0,0
m8970171422,22,愛知県,女性,未婚,パート・アルバイト,サービス業,300万～400万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m89789763775,21,山口県,女性,未婚,学生,勤めていない,100万未満,寮・下宿,なし,1,0,0,0,0,0,0,1
m89789095201,30,福岡県,女性,既婚,専業主婦,勤めていない,500万～600万未満,賃貸（マンション）,あり,1,0,0,0,0,1,0,0
m89787694714,38,愛知県,男性,既婚,会社員(正社員),製造業,700万～800万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8975746739,27,福岡県,男性,未婚,会社員(正社員),運送・輸送業,700万～800万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8974659022,55,群馬県,男性,既婚,会社員(正社員),電気・ガス・水道業,600万～700万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8974379202,58,愛知県,男性,既婚,会社員(正社員),サービス業,700万～800万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8972650863,30,埼玉県,女性,既婚,パート・アルバイト,サービス業,300万～400万未満,賃貸（アパート）,あり,0,1,0,0,0,0,0,0
m8971445790,28,岐阜県,女性,未婚,医師・医療関係者,医療・福祉,400万～500万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m8971136583,30,東京都,男性,未婚,会社員(正社員),建設業,500万～600万未満,賃貸（アパート）,あり,0,1,0,0,0,0,0,0
m8970753904,33,島根県,女性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8970646945,34,群馬県,男性,既婚,会社員(正社員),建設業,400万～500万未満,持ち家（一戸建て）,あり,1,0,1,1,0,0,0,0
m89789828545,50,千葉県,女性,既婚,専業主婦,勤めていない,600万～700万未満,持ち家（一戸建て）,なし,1,0,1,0,1,0,0,0
m89789772289,29,新潟県,女性,既婚,公務員（教職員を除く）,その他,600万～700万未満,社宅,なし,0,1,0,0,0,0,0,0
m89789586609,25,滋賀県,男性,未婚,医師・医療関係者,医療・福祉,600万～700万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89788312129,52,千葉県,女性,既婚,パート・アルバイト,サービス業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788176418,40,岐阜県,男性,既婚,会社員(正社員),建設業,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89787872566,61,大阪府,男性,未婚,会社員(正社員),製造業,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89787758929,54,佐賀県,女性,未婚,パート・アルバイト,サービス業,200万～300万未満,社宅,あり,1,0,1,0,0,0,0,0
m8974019440,49,山梨県,男性,既婚,会社員(正社員),その他,500万～600万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8975617835,67,北海道,男性,既婚,会社員（契約・派遣社員）,サービス業,300万～400万未満,社宅,なし,0,1,0,0,0,0,0,0
m8972948008,64,三重県,男性,既婚,会社員（契約・派遣社員）,製造業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8971459146,45,北海道,女性,未婚,会社員（契約・派遣社員）,商社・卸売り・小売業,100万～200万未満,賃貸（アパート）,なし,1,0,1,1,1,1,1,0
m8970505660,37,宮城県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970502537,32,埼玉県,女性,未婚,パート・アルバイト,サービス業,100万～200万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89788199899,40,大阪府,女性,既婚,パート・アルバイト,サービス業,100万～200万未満,賃貸（一戸建て）,なし,1,0,0,0,0,1,0,0
m8934084437,51,東京都,男性,既婚,会社員(正社員),運送・輸送業,700万～800万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8976519079,52,神奈川県,男性,未婚,自営業,不動産業,"1,200万～1,500万未満",持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8975906778,37,香川県,女性,既婚,専業主婦,勤めていない,800万～900万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8975352232,41,秋田県,男性,未婚,その他,その他,500万～600万未満,持ち家（一戸建て）,なし,1,0,1,0,1,1,0,1
m8972884104,77,富山県,男性,既婚,無職,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,1,0,0,1,0,1,0,0
m89789580270,57,群馬県,女性,既婚,パート・アルバイト,その他,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89789560401,32,神奈川県,男性,未婚,会社員(正社員),農業・林業・漁業・鉱業,400万～500万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m89789291997,27,佐賀県,男性,既婚,会社員(正社員),運送・輸送業,400万～500万未満,賃貸（マンション）,あり,1,0,0,0,0,0,0,1
m89788956708,48,大阪府,男性,既婚,経営者・役員,建設業,500万～600万未満,賃貸（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788597169,39,和歌山県,男性,既婚,会社員(正社員),サービス業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89787705365,21,長崎県,女性,未婚,会社員(正社員),サービス業,200万～300万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m8971994267,51,茨城県,男性,既婚,会社員(正社員),製造業,"1,200万～1,500万未満",賃貸（一戸建て）,あり,1,0,0,1,0,0,0,0
m8970166988,62,広島県,男性,既婚,自営業,不動産業,"1,000万～1,200万未満",持ち家（マンション）,あり,1,0,1,0,0,0,0,0
m89789280972,20,徳島県,女性,未婚,学生,勤めていない,100万未満,賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m89789091418,67,京都府,女性,既婚,専業主婦,勤めていない,100万未満,その他,あり,0,1,0,0,0,0,0,0
m89788963268,28,新潟県,女性,既婚,会社員(正社員),製造業,600万～700万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m89788688211,44,静岡県,女性,未婚,パート・アルバイト,サービス業,200万～300万未満,持ち家（一戸建て）,なし,1,0,1,1,0,0,0,0
m89788409629,54,愛知県,女性,既婚,専業主婦,勤めていない,500万～600万未満,持ち家（一戸建て）,なし,1,0,0,0,1,1,0,0
m89789194022,57,兵庫県,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788676231,48,三重県,男性,既婚,会社員(正社員),製造業,"900万～1,000万未満",持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89787724448,32,東京都,男性,未婚,会社員（契約・派遣社員）,情報通信業,300万～400万未満,賃貸（マンション）,なし,1,0,0,1,0,0,0,0
m89787714919,42,東京都,女性,未婚,会社員(正社員),出版・印刷業,500万～600万未満,賃貸（マンション）,なし,1,0,0,0,1,0,0,0
m8971423511,53,兵庫県,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,なし,1,0,1,1,1,0,1,1
m8971063595,43,北海道,男性,既婚,医師・医療関係者,医療・福祉,700万～800万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m8970763857,46,福岡県,男性,未婚,パート・アルバイト,商社・卸売り・小売業,100万～200万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m89789216776,24,新潟県,女性,既婚,専業主婦,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m89788734881,49,埼玉県,男性,既婚,会社員(正社員),建設業,600万～700万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m89788723455,21,埼玉県,女性,未婚,学生,勤めていない,500万～600万未満,持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m89788360462,35,千葉県,女性,未婚,会社員（契約・派遣社員）,医療・福祉,300万～400万未満,賃貸（アパート）,なし,1,0,1,0,0,0,0,0
m89787783887,56,兵庫県,男性,既婚,自営業,農業・林業・漁業・鉱業,100万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m89787721655,31,岡山県,女性,既婚,会社員(正社員),建設業,500万～600万未満,賃貸（アパート）,なし,1,0,0,0,0,1,0,0
m8971421502,27,北海道,女性,未婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,なし,1,0,1,0,1,1,0,0
m8971031551,55,埼玉県,男性,既婚,その他,その他,300万～400万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m8970650947,51,山口県,女性,既婚,専業主婦,勤めていない,"900万～1,000万未満",持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m89789338976,63,千葉県,男性,既婚,自営業,その他,"900万～1,000万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788977244,44,滋賀県,男性,既婚,会社員(正社員),製造業,"1,200万～1,500万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m89788237521,40,北海道,女性,未婚,会社員（契約・派遣社員）,商社・卸売り・小売業,500万～600万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89788171331,34,京都府,女性,未婚,会社員(正社員),金融・証券・保険業,300万～400万未満,賃貸（マンション）,なし,1,0,1,0,0,0,0,0
m89788045131,43,石川県,男性,未婚,会社員(正社員),建設業,300万～400万未満,賃貸（一戸建て）,なし,0,1,0,0,0,0,0,0
m89787898568,42,三重県,女性,既婚,パート・アルバイト,その他,100万未満,持ち家（一戸建て）,あり,1,0,1,0,1,0,0,0
m89787763606,16,北海道,女性,未婚,学生,勤めていない,100万～200万未満,持ち家（マンション）,なし,1,0,1,0,0,0,0,0
m89389456006,54,愛知県,男性,未婚,無職,勤めていない,100万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8995287834,44,東京都,男性,既婚,会社員(正社員),不動産業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m8970801079,46,京都府,男性,既婚,会社員(正社員),製造業,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89789502384,40,広島県,男性,既婚,会社員(正社員),建設業,500万～600万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788876881,24,愛知県,女性,未婚,会社員(正社員),サービス業,300万～400万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89788641077,58,岐阜県,女性,既婚,会社員(正社員),サービス業,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m8978239851,49,滋賀県,男性,未婚,会社員（契約・派遣社員）,教育業,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8975460057,52,長崎県,男性,既婚,会社員(正社員),医療・福祉,700万～800万未満,持ち家（一戸建て）,あり,1,0,1,1,0,0,0,0
m8975070039,46,長野県,男性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8970374264,51,大阪府,男性,既婚,会社員(正社員),商社・卸売り・小売業,800万～900万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970310469,27,埼玉県,男性,未婚,会社員(正社員),建設業,300万～400万未満,寮・下宿,なし,1,0,0,0,0,1,1,0
m89789793841,29,愛知県,男性,未婚,会社員(正社員),金融・証券・保険業,300万～400万未満,賃貸（アパート）,なし,1,0,0,0,0,1,0,0
m89789676027,29,東京都,女性,既婚,専業主婦,勤めていない,500万～600万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m89789087002,41,福岡県,男性,既婚,会社員(正社員),商社・卸売り・小売業,500万～600万未満,賃貸（マンション）,あり,1,0,0,1,0,0,0,0
m89387787699,16,千葉県,男性,未婚,学生,勤めていない,"1,200万～1,500万未満",持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8970556329,30,奈良県,女性,既婚,公務員（教職員を除く）,教育業,400万～500万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m89788742284,24,埼玉県,女性,未婚,学生,勤めていない,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89788591270,31,静岡県,男性,既婚,会社員(正社員),金融・証券・保険業,600万～700万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89788122031,60,広島県,男性,既婚,無職,勤めていない,500万～600万未満,賃貸（一戸建て）,あり,1,0,1,1,0,0,0,0
m89788085157,52,山口県,女性,既婚,医師・医療関係者,医療・福祉,"1,200万～1,500万未満",持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m89788047973,47,石川県,女性,既婚,会社員(正社員),製造業,400万～500万未満,持ち家（一戸建て）,あり,1,0,1,1,1,1,0,0
m89787851026,47,京都府,男性,未婚,会社員（契約・派遣社員）,非営利団体,200万～300万未満,持ち家（マンション）,なし,0,1,0,0,0,0,0,0
m89787798344,69,埼玉県,男性,既婚,無職,勤めていない,100万～200万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89789717660,21,香川県,女性,未婚,学生,勤めていない,500万～600万未満,持ち家（マンション）,なし,1,0,0,0,0,1,0,0
m89788217586,41,東京都,男性,未婚,会社員(正社員),農業・林業・漁業・鉱業,"2,000万以上",持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m89788686023,57,神奈川県,男性,既婚,会社員(正社員),製造業,700万～800万未満,賃貸（マンション）,なし,0,1,0,0,0,0,0,0
m89788217717,37,兵庫県,男性,既婚,会社員(正社員),建設業,400万～500万未満,持ち家（マンション）,あり,1,0,1,0,0,1,0,0
m89788153832,35,岡山県,女性,既婚,会社員（契約・派遣社員）,教育業,400万～500万未満,賃貸（マンション）,あり,1,0,0,0,0,0,0,1
m89787743915,42,愛知県,女性,既婚,パート・アルバイト,医療・福祉,300万～400万未満,賃貸（マンション）,なし,1,0,1,0,0,1,0,0
m8970937298,57,東京都,男性,既婚,会社員(正社員),製造業,"1,200万～1,500万未満",持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m89789202615,47,埼玉県,女性,既婚,自営業,医療・福祉,300万～400万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89788217163,73,奈良県,女性,既婚,無職,勤めていない,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,0,0,0,0,1
m89788176140,61,東京都,男性,既婚,会社員(正社員),メディア・マスコミ・広告業,600万～700万未満,持ち家（マンション）,なし,1,0,0,0,1,0,0,0
m89787746430,38,宮崎県,男性,未婚,無職,勤めていない,100万未満,賃貸（アパート）,なし,1,0,0,1,0,0,0,0
m899293507,66,兵庫県,男性,既婚,その他,その他,400万～500万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m8998293759,48,千葉県,男性,未婚,会社員(正社員),不動産業,"2,000万以上",持ち家（一戸建て）,なし,1,0,1,0,0,0,0,0
m8974336757,48,埼玉県,男性,未婚,自由業,教育業,700万～800万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m89788894451,43,山口県,女性,未婚,医師・医療関係者,医療・福祉,300万～400万未満,賃貸（アパート）,なし,1,0,0,0,0,0,0,1
m89788761280,38,北海道,男性,既婚,会社員(正社員),教育業,"900万～1,000万未満",持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8976401764,63,兵庫県,男性,既婚,無職,勤めていない,500万～600万未満,持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m899504475,42,千葉県,男性,既婚,会社員(正社員),サービス業,400万～500万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8973792921,59,京都府,男性,既婚,無職,勤めていない,100万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m8971116409,38,福岡県,女性,未婚,会社員(正社員),サービス業,400万～500万未満,持ち家（マンション）,なし,1,0,0,0,0,1,0,0
m8970951848,26,東京都,男性,未婚,会社員(正社員),サービス業,300万～400万未満,賃貸（マンション）,なし,1,0,0,1,0,0,0,1
m8970498496,54,埼玉県,男性,既婚,会社員(正社員),商社・卸売り・小売業,"1,000万～1,200万未満",持ち家（マンション）,あり,0,1,0,0,0,0,0,0
m8970496129,54,富山県,男性,既婚,会社員(正社員),農業・林業・漁業・鉱業,200万～300万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m89789921507,22,茨城県,男性,未婚,学生,勤めていない,700万～800万未満,持ち家（一戸建て）,なし,0,1,0,0,0,0,0,0
m89789268371,31,三重県,男性,既婚,会社員(正社員),医療・福祉,"900万～1,000万未満",持ち家（一戸建て）,あり,1,0,0,0,1,0,1,0
m89788316186,36,埼玉県,男性,既婚,会社員(正社員),サービス業,600万～700万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m89788186979,37,熊本県,女性,既婚,パート・アルバイト,医療・福祉,200万～300万未満,持ち家（一戸建て）,あり,1,0,1,0,1,1,0,0
m8932852427,21,神奈川県,女性,未婚,学生,勤めていない,400万～500万未満,賃貸（マンション）,なし,1,0,0,0,0,0,0,1
m8971677349,33,千葉県,女性,未婚,パート・アルバイト,医療・福祉,100万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970871183,54,神奈川県,男性,既婚,会社員(正社員),運送・輸送業,600万～700万未満,賃貸（マンション）,あり,1,0,1,1,0,0,0,0
m8970746642,37,香川県,男性,既婚,公務員（教職員を除く）,医療・福祉,600万～700万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970296739,38,東京都,男性,既婚,その他,その他,300万～400万未満,その他,あり,1,0,0,0,0,1,0,0
m89789635736,58,新潟県,男性,既婚,会社員(正社員),製造業,700万～800万未満,持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89787712841,49,岐阜県,男性,既婚,自営業,その他,500万～600万未満,持ち家（一戸建て）,あり,1,0,0,0,0,0,0,1
m8993013636,73,東京都,男性,既婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,あり,1,0,0,0,0,0,1,0
m8974820478,27,新潟県,女性,未婚,会社員(正社員),その他,500万～600万未満,持ち家（一戸建て）,なし,1,0,1,0,0,1,0,0
m8970563420,31,岐阜県,男性,未婚,会社員（契約・派遣社員）,製造業,400万～500万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m89789437964,29,熊本県,女性,既婚,パート・アルバイト,農業・林業・漁業・鉱業,300万～400万未満,持ち家（一戸建て）,あり,1,0,0,0,0,1,0,0
m89787994833,67,愛知県,女性,既婚,無職,勤めていない,100万～200万未満,賃貸（マンション）,あり,1,0,0,1,0,0,0,0
m89787803805,37,愛知県,女性,既婚,会社員（契約・派遣社員）,金融・証券・保険業,600万～700万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970760576,47,長野県,男性,既婚,会社員(正社員),運送・輸送業,700万～800万未満,持ち家（一戸建て）,あり,0,1,0,0,0,0,0,0
m8970323922,21,千葉県,女性,未婚,学生,勤めていない,100万未満,その他,なし,1,0,0,0,0,1,0,0
m8970222405,26,福岡県,女性,未婚,会社員(正社員),医療・福祉,"900万～1,000万未満",賃貸（アパート）,なし,0,1,0,0,0,0,0,0
m89789800989,39,愛知県,男性,既婚,経営者・役員,製造業,"1,200万～1,500万未満",持ち家（一戸建て）,あり,1,0,0,1,0,0,0,0
m89788787101,40,沖縄県,男性,未婚,無職,勤めていない,200万～300万未満,持ち家（一戸建て）,なし,1,0,0,1,0,0,0,0
m89788777525,55,大阪府,男性,既婚,会社員(正社員),製造業,100万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m89788411874,52,東京都,女性,既婚,会社員（契約・派遣社員）,メディア・マスコミ・広告業,700万～800万未満,持ち家（マンション）,あり,1,0,0,1,0,0,0,0
m89788362533,25,東京都,女性,既婚,専業主婦,勤めていない,100万未満,賃貸（マンション）,あり,0,1,0,0,0,0,0,0
m89788311092,32,静岡県,男性,未婚,パート・アルバイト,運送・輸送業,200万～300万未満,賃貸（アパート）,なし,1,0,1,1,1,1,1,1
m8971542773,44,福岡県,女性,既婚,専業主婦,勤めていない,400万～500万未満,持ち家（一戸建て）,あり,1,0,0,0,1,0,0,0
m8971397320,57,富山県,男性,既婚,会社員(正社員),建設業,700万～800万未満,持ち家（一戸建て）,あり,1,0,1,0,0,0,0,0
m8970257767,27,福島県,女性,未婚,パート・アルバイト,その他,100万未満,賃貸（アパート）,なし,1,0,0,0,0,1,0,0
m89789914166,37,沖縄県,女性,未婚,会社員(正社員),その他,200万～300万未満,賃貸（アパート）,あり,0,1,0,0,0,0,0,0
